Country Name,Country Code,2014,2015,2016,2017,2018,2019,2020,2021,2022
Marshall Islands,MHL,50419,49410,48329,47187,45989,44728,43413,42050,41569
Middle income,MIC,5514388653,5580130941,5644376982,5708164533,5769572963,5828239756,5883693329,5933441863,5974220875
North Macedonia,MKD,2067471,2070226,2072490,2074502,2076217,2076694,2072531,2065092,2057679
Mali,MLI,17551814,18112907,18700106,19311355,19934298,20567424,21224040,21904983,22593590
Malta,MLT,434558,445053,455356,467999,484630,504062,515332,518536,523417
Myanmar,MMR,51072436,51483949,51892349,52288341,52666014,53040212,53423198,53798084,54179306
Middle East & North Africa (excluding high income),MNA,370756356,378137339,385054538,391607422,398375344,405259403,411810124,418047201,424328381
Montenegro,MNE,621810,622159,622303,622373,622227,622028,621306,619211,616159
Mongolia,MNG,2902823,2964749,3029555,3096030,3163991,3232430,3294335,3347782,3398366
Northern Mariana Islands,MNP,51856,51514,51133,50729,50304,49858,49587,49481,49551
Mozambique,MOZ,26038704,26843246,27696493,28569441,29423878,30285595,31178239,32077072,32969518
Mauritania,MRT,3843174,3946220,4051890,4160015,4270712,4383849,4498604,4614974,4736139
Mauritius,MUS,1261208,1262879,1263747,1264887,1265577,1265985,1266014,1266334,1262523
Malawi,MWI,16477966,16938942,17405624,17881167,18367883,18867337,19377061,19889742,20405317
Malaysia,MYS,30606459,31068833,31526418,31975806,32399271,32804020,33199993,33573874,33938221
North America,NAC,353888902,356507139,359245796,361731237,363967201,365995094,369582571,370321816,372280991
